,minute_regulation,match_id,player_id,family_name,given_name,Event
365,17,M-1986-28,P-00087,Kim,Joo-sung,2
366,31,M-1986-28,P-09563,Bagni,Salvatore,2
367,35,M-1986-28,P-09889,Park,Kyung-hoon,2
368,65,M-1986-28,P-01452,Scirea,Gaetano,2
369,70,M-1986-28,P-05992,Vierchowod,Pietro,2
370,71,M-1986-28,P-04501,Cho,Young-jeung,2
371,30,M-1986-29,P-08192,Saddam,Karim,2
372,73,M-1986-29,P-08414,Allawi,Khalil,2
373,55,M-1986-30,P-03852,Romero,Julio César,2
374,55,M-1986-30,P-05244,Ceulemans,Jan,2
375,52,M-1986-31,P-08724,Fenwick,Terry,2
376,64,M-1986-32,P-05420,Gomes,Fernando,2
377,33,M-1986-33,P-03586,Madjer,Rabah,2
378,89,M-1986-33,P-06148,Goikoetxea,Andoni,2
379,12,M-1986-34,P-03449,Donaghy,Mal,2
380,36,M-1986-35,P-06118,Arnesen,Frank,2
381,48,M-1986-35,P-08111,Eder,Norbert,2
382,51,M-1986-35,P-02293,Jakobs,Ditmar,2
383,88,M-1986-35,P-06118,Arnesen,Frank,1
384,1,M-1986-36,P-00797,Batista,José,3
385,32,M-1986-36,P-02902,Cabrera,Wilmar,2
386,48,M-1986-36,P-02876,Narey,David,2
387,62,M-1986-36,P-09344,Nicol,Steve,2
388,72,M-1986-36,P-06828,Diogo,Víctor,2
389,87,M-1986-36,P-01434,Álvez,Fernando,2
390,58,M-1986-37,P-09662,Arabov,Nikolay,2
391,65,M-1986-38,P-06130,Renquin,Michel,2
392,13,M-1986-39,P-06045,Dziekanowski,Dariusz,2
393,30,M-1986-39,P-06421,Boniek,Zbigniew,2
394,32,M-1986-39,P-05856,Smolarek,Włodzimierz,2
395,36,M-1986-39,P-01894,Careca,not applicable,2
396,83,M-1986-39,P-00505,Edinho,not applicable,2
397,30,M-1986-40,P-02844,Garré,Oscar,2
398,35,M-1986-40,P-00294,Francescoli,Enzo,2
399,49,M-1986-40,P-00625,Brown,José Luis,2
400,58,M-1986-40,P-08731,Acevedo,Eduardo Mario,2
401,68,M-1986-40,P-06003,Santín,Sergio,2
402,83,M-1986-40,P-00289,Pumpido,Nery,2
403,85,M-1986-40,P-08870,da Silva,Jorge,2
404,16,M-1986-41,P-07985,De Napoli,Fernando,2
405,40,M-1986-41,P-00840,Ayache,William,2
406,67,M-1986-41,P-03333,Di Gennaro,Antonio,2
407,29,M-1986-42,P-09795,Lamriss,Abdelmajid,2
408,65,M-1986-42,P-04410,Khalifa,Labid,2
409,37,M-1986-43,P-07337,Martin,Alvin,2
410,60,M-1986-43,P-09944,Nunes,Jorge Amado,2
411,67,M-1986-43,P-09696,Hodge,Steve,2
412,26,M-1986-44,P-03215,Andersen,Henrik,2
413,27,M-1986-44,P-06148,Goikoetxea,Andoni,2
414,32,M-1986-44,P-05615,Camacho,José Antonio,2
415,60,M-1986-44,P-07343,Míchel,not applicable,2
416,20,M-1986-46,P-05414,Aguirre,Javier,2
417,27,M-1986-46,P-00351,Allofs,Klaus,2
418,27,M-1986-46,P-06199,Quirarte,Fernando,2
419,56,M-1986-46,P-01759,Förster,Karlheinz,2
420,65,M-1986-46,P-01675,Berthold,Thomas,3
421,75,M-1986-46,P-04982,de los Cobos,Carlos,2
422,83,M-1986-46,P-01898,Servín,Raúl,2
423,86,M-1986-46,P-09502,Matthäus,Lothar,2
424,94,M-1986-46,P-08939,Sánchez,Hugo,2
425,100,M-1986-46,P-05414,Aguirre,Javier,1
426,9,M-1986-47,P-08724,Fenwick,Terry,2
427,60,M-1986-47,P-09253,Batista,Sergio,2
428,24,M-1986-48,P-02703,Demol,Stéphane,2
429,39,M-1986-48,P-01281,Tomás,not applicable,2
430,44,M-1986-48,P-02326,Calderé,Ramón,2
431,115,M-1986-48,P-05578,Grün,Georges,2
432,59,M-1986-49,P-08526,Magath,Felix,2
433,89,M-1986-49,P-00718,Fernández,Luis,2
434,27,M-1986-50,P-01224,Veyt,Daniel,2
435,33,M-1986-50,P-05866,Valdano,Jorge,2
436,63,M-1986-51,P-03817,Pfaff,Jean-Marie,2
437,17,M-1986-52,P-05008,Maradona,Diego,2
438,21,M-1986-52,P-09502,Matthäus,Lothar,2
439,62,M-1986-52,P-07420,Briegel,Hans-Peter,2
440,77,M-1986-52,P-02511,Olarticoechea,Julio,2
441,81,M-1986-52,P-08627,Enrique,Héctor,2
442,85,M-1986-52,P-00289,Pumpido,Nery,2
443,9,M-1990-01,P-09698,Massing,Benjamin,2
444,23,M-1990-01,P-06631,N'Dip,Victor,2
445,27,M-1990-01,P-02359,Sensini,Roberto Néstor,2
446,54,M-1990-01,P-05868,Mbouh,Émile,2
447,61,M-1990-01,P-08888,Kana-Biyik,André,3
448,88,M-1990-01,P-09698,Massing,Benjamin,3
449,11,M-1990-02,P-07914,Khidiyatullin,Vagiz,2
450,44,M-1990-02,P-06543,Lăcătuș,Marius,2
451,5,M-1990-03,P-01598,Meer,Eissa,2
452,55,M-1990-03,P-00242,Hussain,Yousuf,2
453,70,M-1990-03,P-07806,Meer,Ibrahim,2
454,6,M-1990-04,P-02678,Herzog,Andi,2
455,30,M-1990-05,P-02208,Kubík,Luboš,2
